,Area,Value
238,Italy,1707000.0
239,Italy,1694000.0
240,Italy,1274000.0
241,Italy,1364000.0
242,Italy,1550000.0
243,Italy,1700000.0
244,Italy,1643000.0
245,Italy,1681000.0
246,Italy,1672000.0
247,Italy,1824000.0
248,Italy,2033000.0
249,Italy,2063000.0
250,Italy,1928000.0
251,Italy,1828000.0
252,Italy,1910000.0
253,Italy,1984000.0
254,Italy,2123000.0
255,Italy,2168000.0
256,Italy,2141000.0
257,Italy,2042000.0
258,Italy,2200000.0
259,Italy,2275000.0
260,Italy,2258000.0
261,Italy,2235000.0
262,Italy,2447000.0
263,Italy,2452000.0
264,Italy,2446000.0
265,Italy,2928000.0
266,Italy,3082000.0
267,Italy,2936000.0
268,Italy,2728000.0
269,Italy,2788000.0
270,Italy,3050000.0
271,Italy,3213000.0
272,Italy,3716000.0
273,Italy,3740000.0
274,Italy,3965000.0
275,Italy,3595000.0
276,Italy,3550000.0
277,Italy,3596000.0
278,Italy,3416000.0
279,Italy,3300000.0
280,Italy,3485000.0
281,Italy,3355000.0
282,Italy,3234000.0
283,Italy,3105000.0
284,Italy,3107116.0
285,Italy,3095064.0
286,Italy,2975096.0
287,Italy,2896040.5
288,Italy,2846848.0
289,Italy,2598431.69
290,Italy,2671679.67
291,Italy,2541305.29
292,Italy,2742127.25
293,Italy,2601932.32
294,Italy,2538833.9
295,Italy,2590263.4
296,Spain,99870.6
297,Spain,95558.56
298,Spain,85617.96
299,Spain,86113.84
300,Spain,101181.6
301,Spain,162495.0
302,Spain,158976.0
303,Spain,156740.4
304,Spain,166897.2
305,Spain,190716.0
306,Spain,183052.4
307,Spain,203320.0
308,Spain,486680.0
309,Spain,414000.0
310,Spain,448960.0
311,Spain,457240.0
312,Spain,600300.0
313,Spain,625876.0
314,Spain,551356.0
315,Spain,688712.0
316,Spain,757114.0
317,Spain,571964.0
318,Spain,527160.0
319,Spain,589720.0
320,Spain,601680.0
321,Spain,980720.0
322,Spain,994520.0
323,Spain,922760.0
324,Spain,1059840.0
325,Spain,1479360.0
326,Spain,1324800.0
327,Spain,1108600.0
328,Spain,1001788.0
329,Spain,779240.0
330,Spain,941160.0
331,Spain,962320.0
332,Spain,1080080.0
333,Spain,993600.0
334,Spain,1599880.0
335,Spain,1612392.0
336,Spain,1627756.0
337,Spain,2252804.0
338,Spain,2071104.0
339,Spain,1982048.0
340,Spain,2219040.0
341,Spain,1897040.0
342,Spain,1683600.0
343,Spain,2138172.0
344,Spain,2038996.0
345,Spain,2033200.0
346,Spain,2134400.0
347,Spain,2306532.0
348,Spain,1937980.0
349,Spain,2081639.39
350,Spain,2016785.94
351,Spain,2003172.69
352,Spain,2164636.69
353,Spain,1978504.67
354,Spain,1954565.56
355,Spain,2334167.78
